385	101	134	348	63	143	192	401	22	512	76
390	89	138	315	66	130	167	351	12	477	62
395	90	121	284	64	101	146	285	11	408	56
400	69	108	276	52	93	140	232	9	348	48
405	71	83	225	38	88	136	190	6	296	39
410	67	90	213	34	72	82	136	5	258	27
415	51	71	163	34	56	74	107	6	227	23
420	41	50	145	21	64	69	83	5	204	26
425	29	44	140	20	62	81	75	8	156	18
430	22	28	111	12	59	59	66	3	148	14
435	18	16	84	10	57	43	56	6	111	11
440	11	22	65	5	54	24	41	3	87	9
445	9	20	53	3	44	20	31	1	68	10
450	7	10	43	2	44	12	35	1	59	6
455	7	5	49	4	48	11	22	3	47	3
460	8	9	46	6	43	14	23	3	39	1
465	8	3	54	3	34	10	14	4	35	NA
470	6	2	47	2	20	9	11	2	28	NA
475	4	3	35	NA	22	8	9	1	21	NA
480	3	5	36	NA	17	7	5	NA	24	NA
485	1	1	25	NA	17	8	6	NA	19	NA
490	1	2	30	NA	13	2	5	NA	23	NA
495	1	3	25	NA	11	2	5	NA	24	NA
500	1	1	28	NA	11	4	3	NA	17	NA
505	NA	1	19	NA	5	5	2	NA	19	NA
510	NA	1	12	NA	9	5	3	NA	14	NA
515	NA	NA	13	NA	6	5	2	NA	15	NA
520	NA	NA	9	NA	7	5	NA	NA	15	NA
525	NA	NA	4	NA	8	3	NA	NA	21	NA
530	NA	NA	1	NA	7	2	NA	NA	19	NA
535	NA	NA	NA	NA	5	3	NA	NA	20	NA
540	NA	NA	NA	NA	4	6	NA	NA	16	NA
545	NA	NA	NA	NA	3	8	NA	NA	17	NA
550	NA	NA	NA	NA	2	9	NA	NA	13	NA
555	NA	NA	NA	NA	2	8	NA	NA	13	NA
560	NA	NA	NA	NA	1	6	NA	NA	10	NA
565	NA	NA	NA	NA	1	3	NA	NA	6	NA
570	NA	NA	NA	NA	0	5	NA	NA	6	NA
575	NA	NA	NA	NA	NA	3	NA	NA	6	NA
580	NA	NA	NA	NA	NA	3	NA	NA	6	NA
585	NA	NA	NA	NA	NA	3	NA	NA	5	NA
590	NA	NA	NA	NA	NA	3	NA	NA	7	NA
595	NA	NA	NA	NA	NA	2	NA	NA	7	NA
600	NA	NA	NA	NA	NA	1	NA	NA	3	NA
605	NA	NA	NA	NA	NA	2	NA	NA	4	NA
610	NA	NA	NA	NA	NA	3	NA	NA	2	NA
615	NA	NA	NA	NA	NA	2	NA	NA	9	NA
620	NA	NA	NA	NA	NA	1	NA	NA	5	NA
625	NA	NA	NA	NA	NA	NA	NA	NA	4	NA
630	NA	NA	NA	NA	NA	NA	NA	NA	3	NA
635	NA	NA	NA	NA	NA	NA	NA	NA	4	NA
